linear_regression,lasso_selection,correlation_selection,lasso,splines
-30.341603064512466,-29.80310767150823,-13.307652798890771,-51.15910002069972,-13.354123810096528
-18.417671282231023,-24.186561779753582,-19.10883811611063,-22.105377336507104,-7.915992032467763
-19.94628463744389,-22.37167964431169,-31.05975175291433,-34.91292596624591,-24.449697156367556
-30.82253309849425,-37.560192114564884,-24.445084644438538,-25.310820627122357,-9.307744590880919
-14.165631429634908,-17.133712795052364,-36.234650612523915,-33.03008767491561,-21.301775632056223
-21.012181829887975,-13.784520928043463,-23.233459288835,-16.111559292093364,-22.21678603650964
-26.908763758218317,-34.826668630827776,-23.751611221622287,-28.695320970260315,-27.10569595083068
-19.179895177335837,-21.349419318833046,-17.030254517885812,-14.209967788555785,-7.730640049986528
-15.13007879549045,-17.73669105569266,-16.423026247199413,-18.322735381399074,-9.897565919923345
-15.304803428393377,-24.40976911215076,-22.413077433586196,-13.235922800483596,-19.909066484596895
-16.3648261070694,-22.373942112281075,-28.69250519904766,-40.30523711960226,-9.218240331034695
-34.07978153809876,-20.268636948561465,-18.05353876753286,-29.895118168772907,-24.128984992952994
-51.607931142651786,-33.44102406047416,-30.371601478444447,-35.10627133629331,-12.71888009302927
-28.675849141148728,-34.135193829231994,-23.729466933112153,-15.170253335160846,-11.619748648538552
-34.7169033653398,-37.22662939292684,-21.06632359839937,-21.57982130287104,-17.50388341844877
-19.832397171786614,-16.212542310016943,-15.24244797989921,-21.053465632845022,-23.562303898393804
-16.105782472380962,-25.03985489423004,-23.95544058014049,-20.118969426364245,-30.93884823786353
-28.13898578160418,-10.305389972926069,-40.01223365296773,-17.689639295454686,-17.39069843277046
-48.64121131145676,-23.11113472918162,-30.931214496600077,-51.364450732686144,-9.47207045714568
-11.359341806956683,-25.874484969329682,-13.167335139486061,-11.021412913123923,-27.40554682584462
-21.856348714398283,-18.09582084299111,-16.47113284929885,-31.029591348149374,-10.288554732445757
-17.251106469042274,-36.25759903618375,-42.045939877429454,-33.037759113454634,-9.622468294216933
